Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-10-03 16:00:43,"Squat Day",55m,"Bench Press (Barbell)",2,125.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bench Press (Barbell)",3,125.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bench Press (Barbell)",4,125.00000000000001,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bent Over Row (Barbell)",1,95.0,10,0,0,"",,
2021-10-03 16:00:43,"Squat Day",55m,"Bent Over Row (Barbell)",2,115.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bent Over Row (Barbell)",3,125.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bent Over Row (Barbell)",4,125.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bent Over Row (Barbell)",5,125.0,6,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Overhead Press (Barbell)",1,74.99999999999999,12,0,0,"","",
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Overhead Press (Barbell)",2,85.0,6,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Overhead Press (Barbell)",3,85.0,5,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Overhead Press (Barbell)",4,85.0,3,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Overhead Press (Barbell)",5,85.0,3,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Overhead Press (Barbell)",6,74.99999999999999,4,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Bench Press (Barbell)",1,105.0,12,0,0,"",,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Bench Press (Barbell)",2,125.0,6,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Bench Press (Barbell)",3,115.0,7,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Bench Press (Barbell)",4,115.0,6,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Deadlift (Barbell)",1,155.0,6,0,0,"",,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Deadlift (Barbell)",2,175.0,6,0,0,,,
