Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-13 09:12:33;"kod Ivana 8";"Bench Press (Barbell)";1;85;lbs;6;;;;0;"";"";1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bench Press (Barbell)";2;95;lbs;6;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bench Press (Barbell)";3;105;lbs;5;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bench Press (Barbell)";4;105;lbs;5;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Overhead Press (Barbell)";2;85;lbs;6;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Overhead Press (Barbell)";3;85;lbs;5;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Overhead Press (Barbell)";4;75;lbs;6;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bent Over Row (Barbell)";1;95;lbs;6;;;;0;"";;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bent Over Row (Barbell)";2;85;lbs;10;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bent Over Row (Barbell)";3;85;lbs;16;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bent Over Row (Barbell)";4;95;lbs;10;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Bent Over Row (Barbell)";5;95;lbs;10;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Squat (Barbell)";1;0;lbs;6;;;;0;"";;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Squat (Barbell)";2;0;lbs;11;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Squat (Barbell)";3;0;lbs;9;;;;0;;;1h 34m
2022-03-13 09:12:33;"kod Ivana 8";"Squat (Barbell)";4;0;lbs;6;;;;0;;;1h 34m
2022-03-15 18:25:01;"kod Ivana 9";"Bench Press (Barbell)";1;85;lbs;6;;;;0;"";"";1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Bench Press (Barbell)";2;85;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Bench Press (Barbell)";3;95;lbs;6;;;;0;;;1h 16m
